index,Zip Code Tabulation Area,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Population 25 and Over,Rate 25 and Over w/ less than 1st grade,Rate 25 and Over w/ Some or Completed Elementary School,Rate 25 and Over w/ Some or Completed Middle School,Rate 25 and Over w/ Some or Completed High School or Equivalent,"Rate 25 and Over w/ Some college, less than 1 year","Rate 25 and Over w/ Some college, 1 or more years",Rate 25 and Over w/ Associate's degree,Rate 25 and Over w/ Bachelor's degree,Rate 25 and Over w/ Master's degree,Rate 25 and Over w/ Professional school degree,Rate 25 and Over w/ Doctorate degree
27793,80002,18266,36.5,59099,33810,0.113763276,13057,0.007428965,0.02443134,0.02159761,0.340277246,0.061805928,0.134410661,0.103545991,0.202420158,0.081412269,0.012483725,0.010186107
27794,80003,36969,37,65957,32552,0.078795748,25977,0.00619779,0.010124341,0.009392925,0.346421835,0.069446048,0.17615583,0.089271278,0.200331062,0.07475844,0.011279209,0.006621242
27795,80004,37042,42.1,75794,38396,0.066654068,27463,0.007027637,0.002694534,0.006845574,0.308050832,0.07038561,0.169646433,0.082875141,0.233769071,0.095655973,0.01358191,0.009467283
27796,80005,29117,43.3,101313,45975,0.036061407,20754,0.004962899,0.000433651,0.001879156,0.20641804,0.0808037,0.163631107,0.082201021,0.293003758,0.129806302,0.021538017,0.015322347
27797,80007,12026,38.8,140610,58868,0.00498919,8252,0.005210858,0,0.004241396,0.144571013,0.054168686,0.138875424,0.053926321,0.32816287,0.198376151,0.047140087,0.025327193
27798,80010,43477,31.2,41076,18270,0.219380362,26454,0.040145158,0.090761322,0.038330687,0.440160278,0.054434112,0.133817192,0.067248809,0.089287064,0.036289408,0.005481213,0.004044757
27799,80011,50675,31.9,48086,20423,0.160868278,31492,0.034389686,0.049345866,0.036421948,0.490346755,0.062333291,0.122920107,0.081258732,0.081989077,0.031341293,0.005334688,0.004318557
27800,80012,53032,33.4,53236,24139,0.158319505,34174,0.018873998,0.030081348,0.018844736,0.389565167,0.059665243,0.151635746,0.088049394,0.165827822,0.065020191,0.006174285,0.006262071
27801,80013,72887,35,79219,32255,0.073771729,48630,0.011659469,0.008533827,0.004935225,0.296216327,0.072362739,0.173534855,0.11830146,0.22607444,0.072876825,0.008780588,0.006724244
27802,80014,39243,41.9,56578,33163,0.092984736,29590,0.00584657,0.011490368,0.003649882,0.268469077,0.065697871,0.173605948,0.096451504,0.249678946,0.098850963,0.014498141,0.01176073
27803,80015,67959,37,100229,38193,0.029694375,44579,0.008434465,0.004755602,0.008367168,0.210480271,0.066690594,0.13748626,0.107651585,0.293478992,0.123331614,0.020929137,0.018394311
27804,80016,54651,37.4,117068,48295,0.037766921,35106,0.004643081,0.002848516,0.002392753,0.151711958,0.050219336,0.140004558,0.089272489,0.351335954,0.151626503,0.032330656,0.023614197
27805,80017,36613,31.9,62531,27198,0.115450796,23248,0.027185134,0.015270131,0.0110117,0.325662423,0.062801101,0.201780798,0.088652787,0.198167584,0.055746731,0.004430489,0.009291122
27806,80018,13046,34.2,103968,33826,0.03694619,8094,0.001606128,0.012478379,0.005559674,0.265505313,0.062515444,0.197306647,0.119841858,0.248085001,0.076970596,0.00728935,0.002841611
27807,80019,2967,32.2,82808,30414,0.122345804,1684,0.01128266,0.013064133,0,0.311163895,0.035035629,0.137173397,0.104513064,0.281472684,0.086698337,0,0.0195962
27808,80020,49657,37.6,87786,42571,0.049378738,34181,0.003422954,0.007986893,0.004095843,0.195313186,0.058541295,0.139697493,0.091425061,0.325531728,0.13618677,0.019133437,0.01866534
27809,80021,33725,35.6,77155,40032,0.069681245,24045,0.008400915,0.001829902,0.003784571,0.226367228,0.059638178,0.164067374,0.081056353,0.293283427,0.127302974,0.020004159,0.01426492
27810,80022,50392,31.1,64251,23116,0.143713288,29674,0.031037272,0.062141942,0.020927411,0.428354789,0.060288468,0.12900182,0.082934556,0.130248703,0.046067264,0.004515738,0.004482038
27811,80023,21368,42.2,121907,58130,0.028921752,14436,0.006857855,0.000900526,0.001523968,0.117206983,0.04045442,0.114505403,0.074466611,0.373718482,0.208021613,0.039969521,0.022374619
27812,80024,336,38,33594,17915,0.157738095,247,0,0.194331984,0.165991903,0.481781377,0.113360324,0,0.044534413,0,0,0,0
27813,80025,365,49.1,180042,43383,0.060273973,246,0,0,0,0.008130081,0.016260163,0.012195122,0.008130081,0.552845528,0.280487805,0.040650407,0.081300813
27814,80026,29576,39.4,79595,44817,0.088416283,20971,0.002622669,0.002384245,0.007868008,0.175003576,0.040484479,0.126794144,0.086118926,0.350531687,0.144294502,0.024700777,0.039196986
27815,80027,33830,40.1,109718,50343,0.04661543,23064,0.011576483,0.000737079,0.001430801,0.089360042,0.03616025,0.083376691,0.049644468,0.37226847,0.256330212,0.047650017,0.051465487
27816,80030,16607,36.1,51400,25171,0.1658939,11280,0.0125,0.025975177,0.034751773,0.447606383,0.080939716,0.154166667,0.073492908,0.115336879,0.048049645,0.004521277,0.002659574
27817,80031,35509,37.8,77826,38473,0.068771297,24773,0.017761272,0.011100795,0.00593388,0.270375005,0.070843257,0.144835103,0.086222904,0.243410164,0.113066645,0.021030961,0.015420014
27818,80033,25323,42.4,54785,35416,0.11945662,19113,0.00894679,0.010516402,0.004604196,0.333594935,0.062313609,0.162507194,0.082561607,0.210014127,0.091194475,0.023439544,0.010307121
27819,80045,889,28.8,47898,40464,0.281214848,673,0.038632987,0,0,0.013372957,0.020802377,0.068350669,0.084695394,0.372956909,0.104011887,0.18127786,0.11589896
27820,80101,492,49,66316,28634,0.081300813,344,0,0,0.005813953,0.372093023,0.095930233,0.11627907,0.145348837,0.139534884,0.125,0,0
27821,80102,5648,42.4,75343,35344,0.064270538,3920,0.013010204,0.009693878,0.009183673,0.382908163,0.091071429,0.156377551,0.125,0.164540816,0.042857143,0.003571429,0.001785714
27822,80103,2749,45.6,72632,33726,0.054929065,1933,0.013450595,0.009829281,0.003621314,0.392136575,0.105535437,0.176409726,0.098292809,0.141748577,0.031557165,0.018623901,0.00879462
27823,80104,30718,36.5,97336,41439,0.057327951,19858,0.00327324,0.001107866,0.002517877,0.183049653,0.065112297,0.184862524,0.12110988,0.303907745,0.106606909,0.0163662,0.012085809
27824,80105,1123,52,63125,30464,0.144256456,840,0,0,0,0.461904762,0.11547619,0.161904762,0.079761905,0.139285714,0.032142857,0.003571429,0.005952381
27825,80106,5194,48.3,105595,40707,0.034077782,3746,0.001067806,0.001601708,0.014415376,0.191938067,0.043246129,0.189535505,0.082754939,0.287506674,0.17164976,0.008809397,0.00747464
27826,80107,12904,44.1,97214,43899,0.032780533,8951,0.000446877,0,0.001899229,0.267679589,0.073623059,0.174729081,0.128142107,0.230923919,0.090157524,0.021896995,0.01050162
27827,80108,27101,41.2,136937,65508,0.027932549,17535,0.001824922,0.001197605,0.000399202,0.092728828,0.04510978,0.136070716,0.066267465,0.412489307,0.180382093,0.042429427,0.021100656
27828,80109,22734,35.7,123798,47471,0.019706167,14200,0.000704225,0.00443662,0.005985915,0.124647887,0.05584507,0.159366197,0.090211268,0.365774648,0.146408451,0.027676056,0.018943662
27829,80110,22523,36,56789,30332,0.15659548,15937,0.00577273,0.024283115,0.017004455,0.329986823,0.07272385,0.144569241,0.078622074,0.226642404,0.082386898,0.010667001,0.007341407
27830,80111,32864,40,106766,64504,0.054253895,22509,0.004042827,0.004709227,0.002176907,0.089697454,0.028744058,0.110400284,0.046425874,0.391754409,0.20796126,0.082233773,0.031853925
27831,80112,33081,36,91687,49905,0.043862036,23054,0.000737399,0.001951939,0.002472456,0.118461005,0.042769151,0.151296955,0.072178364,0.361889477,0.204780082,0.030146612,0.013316561
27832,80113,23117,38.7,63826,60076,0.132413375,16845,0.006233304,0.003799347,0.007954883,0.24220837,0.055506085,0.116414366,0.056040368,0.302463639,0.129237162,0.063223508,0.016918967
27833,80116,4014,51.4,106042,51923,0.050323866,3030,0.008580858,0.002640264,0.004950495,0.184158416,0.044554455,0.16039604,0.061056106,0.329372937,0.143234323,0.033993399,0.027062706
27834,80117,2889,48.4,90313,42475,0.050190377,2138,0.006548176,0.000935454,0,0.404115996,0.085126286,0.119738073,0.119270346,0.228718428,0.028063611,0.005612722,0.001870907
27835,80118,6395,51.1,128548,60388,0.031899922,4911,0.001425372,0.003461617,0.00407249,0.165750356,0.050702505,0.1686011,0.059865608,0.33903482,0.155365506,0.029729179,0.021991448
27836,80120,31830,40.4,68954,42733,0.090951932,23286,0.010564288,0.003134931,0.005840419,0.213647685,0.058318303,0.161427467,0.078373271,0.302370523,0.129090441,0.022416903,0.014815769
27837,80121,19414,44.9,95484,62316,0.055887504,13829,0.002964784,0.006724998,0.001446236,0.169860438,0.04917203,0.141224962,0.060452672,0.32865717,0.163569311,0.059729554,0.016197845
27838,80122,33103,42.9,101070,46772,0.04924025,23656,0.003212716,0.001014542,0.001986811,0.148968549,0.044174839,0.156619885,0.062309773,0.364685492,0.168540751,0.031408522,0.01707812
27839,80123,46586,42.1,78272,44585,0.053492466,34358,0.005646429,0.002619477,0.005035217,0.200477327,0.07206473,0.175010187,0.075673788,0.297427091,0.118138425,0.033733046,0.014174283
27840,80124,21384,38.1,107244,60197,0.043583988,14657,0.004366514,0,0,0.12205772,0.033431125,0.124036297,0.05922085,0.405744695,0.177526097,0.061404107,0.012212595
27841,80125,10552,40.8,127588,55370,0.016584534,7558,0.004366234,0.002646203,0,0.170812384,0.070388992,0.159962953,0.080312252,0.315162741,0.136279439,0.033871395,0.026197407
27842,80126,43801,40.1,122851,53830,0.034200132,28400,0.004612676,0.000387324,0.002359155,0.105211268,0.05,0.121971831,0.076302817,0.409084507,0.179542254,0.032042254,0.018485915
27843,80127,44851,43.1,108190,49972,0.035963524,31305,0.004376298,0.001149976,0.000351382,0.163935474,0.058968216,0.136815205,0.079827504,0.349081616,0.162370228,0.023478678,0.019645424
27844,80128,36293,40.7,88511,42543,0.043892762,25751,0.002640674,0.000310668,0.000854336,0.200380568,0.065783853,0.182051182,0.104500796,0.311133548,0.107723972,0.016504213,0.00811619
27845,80129,30058,39.8,111636,49506,0.022756005,20116,0.002336449,0,0.000745675,0.114237423,0.039222509,0.124080334,0.077102804,0.408629946,0.175034798,0.037283754,0.021326307
27846,80130,28932,37.5,121165,51376,0.047525232,18511,0.002647075,0.00448382,0.000756307,0.114256388,0.045324402,0.118470099,0.072065258,0.41224137,0.176705743,0.024093782,0.028955756
27847,80131,295,38.2,59737,28869,0.172881356,210,0,0,0,0.385714286,0.085714286,0.214285714,0.142857143,0.061904762,0.10952381,0,0
27848,80132,20843,43.5,126270,49890,0.040829055,14084,0.00362113,0.010650383,0.001846066,0.106787844,0.058364101,0.120349333,0.07916785,0.341735302,0.216841806,0.038128373,0.02250781
27849,80133,2558,35.7,44712,28730,0.162627052,1745,0.004584527,0.004011461,0.051002865,0.276217765,0.057879656,0.179369628,0.092836676,0.198280802,0.101432665,0,0.034383954
27850,80134,66679,36.2,112370,47326,0.031344201,42539,0.006770258,0.0023978,0.001222408,0.141681751,0.056559863,0.1520252,0.076964668,0.381790827,0.148099391,0.019487999,0.012999835
27851,80135,3607,53.5,95801,58669,0.031327973,2699,0,0.00148203,0,0.218228974,0.061874768,0.156354205,0.098925528,0.294183031,0.10633568,0.04001482,0.022600963
27852,80136,5026,40,82331,32481,0.036012734,3246,0.010166359,0,0.002464572,0.346272335,0.094577942,0.185150955,0.119531731,0.183610598,0.041281577,0.012014787,0.004929144
27853,80137,1658,25.5,92772,35157,0.041616405,852,0,0,0,0.4342723,0.059859155,0.237089202,0.069248826,0.157276995,0.023474178,0.018779343,0
27854,80138,33603,40.1,122983,46170,0.032288784,21894,0.001964008,0.003425596,0.002466429,0.169315794,0.074860692,0.156663926,0.105462684,0.313510551,0.135288207,0.020964648,0.016077464
27855,80202,13756,33.5,85697,80665,0.145463798,11538,0.007626972,0.004940198,0.002253423,0.107817646,0.017160686,0.102097417,0.024787658,0.431010574,0.186600797,0.076616398,0.03908823
27856,80203,20937,32.5,52147,49777,0.127334384,18594,0.003603313,0.007798214,0.000484027,0.111380015,0.038937292,0.139453587,0.044906959,0.418145638,0.169086802,0.046036356,0.020167796
27857,80204,34098,32.4,41473,27253,0.285324652,22698,0.030971892,0.066834082,0.033791523,0.352850471,0.043219667,0.119437836,0.043792405,0.199268658,0.081460922,0.017578641,0.010793903
27858,80205,34381,32.2,66775,39989,0.18068119,25245,0.012834225,0.039374133,0.018379877,0.207763914,0.04214696,0.140463458,0.056882551,0.325410972,0.108179838,0.037670826,0.010893246
27859,80206,24527,36.6,73076,67551,0.08125739,20680,0.000580271,0.001837524,0.001402321,0.083413926,0.025531915,0.109526112,0.043617021,0.398355899,0.195502901,0.094680851,0.045551257
27860,80207,26592,36.1,77282,41647,0.124586342,18901,0.010264007,0.023596635,0.014655309,0.237818105,0.034230993,0.133273372,0.044918258,0.290831173,0.135336755,0.048833395,0.026241998
27861,80209,25271,37.7,87333,70844,0.066202366,20977,0.005005482,0.005243838,0.00038137,0.076512371,0.022882204,0.093578681,0.042665777,0.440768461,0.212709158,0.068408257,0.031844401
27862,80210,36296,33.9,86970,59093,0.098109985,24332,0.000698668,0.001808318,0.002383692,0.096991616,0.029672859,0.10730725,0.046029919,0.406255137,0.207545619,0.068181818,0.033125103
27863,80211,34144,34.9,78192,52285,0.13156045,27146,0.01654019,0.025012893,0.019818758,0.184925956,0.034075002,0.103698519,0.048662786,0.357142857,0.138952332,0.054041111,0.017129596
27864,80212,19652,38.1,75713,48515,0.112965601,15233,0.01010963,0.022123022,0.010634806,0.187487691,0.043326987,0.123219326,0.031838771,0.356397295,0.140353181,0.047659686,0.026849603
27865,80214,26245,36.1,44314,29332,0.159725662,19506,0.016353942,0.025223008,0.014354558,0.342715062,0.060084077,0.181123757,0.067927817,0.197375167,0.07725828,0.008561468,0.009022865
27866,80215,19415,40.9,70483,41029,0.077053824,14410,0.006523248,0.00832755,0.010270645,0.242539903,0.068008328,0.157737682,0.066134629,0.260860514,0.117349063,0.027480916,0.034767523
27867,80216,13118,29.7,57348,22639,0.218859582,8046,0.028461347,0.112353965,0.049217002,0.411011683,0.029331345,0.101541138,0.042878449,0.160825255,0.060775541,0.001739995,0.00186428
27868,80218,19129,33.9,62923,58782,0.129332427,16302,0.003987241,0.002331002,0.001533554,0.112501534,0.03821617,0.105937922,0.051772789,0.424855846,0.180468654,0.054226475,0.024168814
27869,80219,69190,32.2,45693,19208,0.211258852,42699,0.033818122,0.098714256,0.029438629,0.487856858,0.044848825,0.109581021,0.043537319,0.119440736,0.025457271,0.005808099,0.001498864
27870,80220,35999,36.2,78773,56542,0.11183644,26193,0.008666438,0.017600122,0.004161417,0.140571909,0.031878746,0.116634215,0.052838545,0.320238232,0.192150575,0.075058222,0.040201581
27871,80221,42046,34.6,57826,24856,0.118727108,27986,0.033945544,0.07339384,0.03901951,0.396090903,0.068534267,0.136854141,0.074108483,0.121918102,0.045415565,0.003573215,0.00714643
27872,80222,23044,38.3,60896,42743,0.115778511,18211,0.018066004,0.021580364,0.003843831,0.193179946,0.04502773,0.157487233,0.047938059,0.347372467,0.120641371,0.027675581,0.017187414
27873,80223,20650,33.4,51431,27736,0.154673123,14321,0.015012918,0.084630962,0.020110327,0.351860904,0.031631869,0.12191886,0.056699951,0.208435165,0.07988269,0.01920257,0.010613784
27874,80224,19253,37.4,64254,38905,0.131823612,14252,0.014103284,0.011086163,0.010805501,0.167064272,0.074586023,0.142295818,0.07655066,0.308518103,0.143348302,0.03739826,0.014243615
27875,80226,32640,35.6,61014,32995,0.101654412,22346,0.009889913,0.020406337,0.007697127,0.317506489,0.06001074,0.162668934,0.062293028,0.242280498,0.09151526,0.01512575,0.010605925
27876,80227,36034,38.6,67111,36350,0.086695898,25782,0.008882166,0.008106431,0.014622605,0.263051742,0.054301451,0.160693507,0.072492437,0.267783725,0.116631759,0.021022419,0.01241176
27877,80228,34109,38.8,79203,42530,0.06760679,23989,0.003876777,0.003584976,0.001459002,0.211430239,0.056275793,0.13756305,0.079536454,0.322856309,0.13706282,0.026387094,0.019967485
27878,80229,54946,31.3,57674,23069,0.143668329,33958,0.019141292,0.058778491,0.024972024,0.446963897,0.06402026,0.153837093,0.089404559,0.107897992,0.028034631,0.003415984,0.003533777
27879,80230,9349,38.2,89594,62665,0.080008557,6725,0.009665428,0.006096654,0.005055762,0.087286245,0.018736059,0.091598513,0.04802974,0.342156134,0.200148699,0.13472119,0.056505576
27880,80231,37241,33.9,55645,38457,0.127950377,25875,0.004405797,0.011091787,0.00742029,0.209236715,0.047458937,0.166183575,0.079497585,0.304888889,0.122164251,0.027439614,0.02021256
27881,80232,22553,39.8,65596,34647,0.089566798,16329,0.011758222,0.013595444,0.006062833,0.358686999,0.075448588,0.157878621,0.088370384,0.197991304,0.070120644,0.008022537,0.012064425
27882,80233,50478,32.7,73882,29386,0.077637783,32010,0.017619494,0.009996876,0.012089972,0.374789128,0.094283037,0.173883162,0.094876601,0.157450797,0.050984067,0.009528272,0.004498594
27883,80234,28254,35.2,70727,36260,0.078254406,19375,0.013212903,0.01723871,0.007019355,0.269264516,0.062245161,0.18596129,0.091458065,0.219096774,0.10843871,0.013367742,0.012696774
27884,80235,8742,35.8,63505,34525,0.113132006,6368,0.004711055,0.002355528,0.003140704,0.308103015,0.052292714,0.18781407,0.089353015,0.232255025,0.086055276,0.017116834,0.016802764
27885,80236,18795,33.6,59938,27350,0.135674381,12107,0.03716858,0.065334104,0.01073759,0.357726935,0.048732138,0.170066903,0.066820847,0.186173288,0.044189312,0.010820187,0.002230115
27886,80237,20982,39.7,70770,49147,0.049661615,16536,0.015662796,0.001693275,0.008708273,0.132619739,0.030358007,0.152455249,0.064465409,0.375907112,0.158442187,0.044690373,0.014997581
27887,80238,19901,35.1,138580,56726,0.035777097,12663,0,0.000710732,0,0.036089394,0.024006949,0.08994709,0.036958067,0.400852878,0.249703862,0.109294796,0.052436232
27888,80239,47489,30.4,58047,19531,0.145128346,28218,0.040647813,0.091360125,0.039301155,0.469806506,0.048586009,0.136508612,0.057445602,0.078779502,0.031433837,0.003472961,0.002657878
27889,80241,33431,36.2,87418,36297,0.046065029,22479,0.017794386,0.006494951,0.012989902,0.273232795,0.078428756,0.152497887,0.09844744,0.244227946,0.093776414,0.013479247,0.008630277
27890,80246,13607,31.4,52516,41513,0.122216506,10546,0.009482268,0.015930211,0.015076806,0.184619761,0.058790063,0.139863455,0.068651621,0.356533283,0.106485871,0.026929642,0.017637019
27891,80247,29105,36,45785,30438,0.157052053,20879,0.020163801,0.013937449,0.004023181,0.264332583,0.056611907,0.138943436,0.074907802,0.269217874,0.114469084,0.034915465,0.008477418
27892,80249,30625,32,74117,26238,0.087869388,18963,0.030216738,0.028371038,0.015820282,0.334862627,0.066972525,0.164214523,0.093497864,0.194642198,0.063333861,0.006644518,0.001423825
27893,80260,34538,31.4,46846,23197,0.192512595,20989,0.037638763,0.062842441,0.029872791,0.460908095,0.075039306,0.126685407,0.07079899,0.101767593,0.02820525,0.004335604,0.00190576
27898,80301,25690,38.1,82522,53220,0.091124951,19259,0.005400073,0.007580871,0.006542396,0.113349603,0.027311906,0.114491926,0.043927514,0.377018537,0.204475829,0.04854873,0.051352614
27899,80302,29109,25.1,50044,38781,0.342265279,14646,0.00450635,0,0,0.053871364,0.027311211,0.108493787,0.040761983,0.362078383,0.260617233,0.055987983,0.086371706
27900,80303,24631,30.7,61156,43424,0.217165361,15134,0.006475486,0.0047575,0.002907361,0.101691555,0.029271838,0.10453284,0.04202458,0.339830844,0.223338179,0.060922426,0.08424739
27901,80304,27038,39.9,89846,55982,0.090391301,19616,0.00295677,0.008105628,0.005862561,0.080189641,0.032728385,0.09247553,0.029312806,0.361133768,0.264172104,0.061582382,0.061480424
27902,80305,17502,35.3,90610,50966,0.11838647,11547,0.001991859,0.005455963,0.001039231,0.072572963,0.021304235,0.070581103,0.043387893,0.346583528,0.243699662,0.065038538,0.128345025
27904,80401,42169,38.9,85833,47126,0.117242524,29249,0.001470136,0.005060002,0.003384731,0.207665219,0.051215426,0.123183699,0.058053267,0.304078772,0.172279394,0.038120961,0.035488393
27905,80403,20021,42.6,110417,55242,0.06598072,14340,0.002998605,0.006345886,0.002161785,0.160320781,0.057182706,0.100209205,0.072384937,0.350627615,0.178312413,0.032426778,0.037029289
27907,80420,962,40.1,42344,26000,0.200623701,668,0,0,0,0.446107784,0.058383234,0.194610778,0.095808383,0.199101796,0.002994012,0.002994012,0
27908,80421,9365,48.8,69746,33783,0.013774693,7139,0.001540832,0,0,0.310687771,0.074380165,0.209553159,0.089508335,0.230844656,0.051968063,0.004202269,0.02731475
27909,80422,4618,46.3,75849,47613,0.031615418,3573,0,0,0.007556675,0.232297789,0.0640918,0.242933109,0.070528967,0.233697173,0.120626924,0.006157291,0.022110271
27911,80424,10120,35.4,88243,38842,0.117588933,7657,0,0.001436594,0.007966567,0.19772757,0.02141831,0.18088024,0.057724958,0.386574376,0.117017109,0.015410735,0.013843542
27912,80425,179,63,137159,93565,0.016759777,165,0,0,0,0,0.042424242,0.478787879,0.006060606,0.290909091,0.096969697,0.048484848,0.036363636
27913,80426,83,39.7,36618,23949,0,78,0,0,0,0.435897436,0.102564103,0.371794872,0.051282051,0,0,0,0.038461538
27914,80427,781,44.7,51250,38317,0.117797695,649,0,0,0.010785824,0.329738059,0.044684129,0.314329738,0.06009245,0.149460709,0.049306626,0,0.041602465
27915,80428,824,54.7,77969,33213,0.189320388,605,0,0,0,0.171900826,0.029752066,0.157024793,0.12892562,0.320661157,0.165289256,0,0.026446281
27916,80432,187,45.2,64052,32639,0.443850267,135,0,0,0,0.333333333,0,0.237037037,0.214814815,0.214814815,0,0,0
27917,80433,8749,46.5,103173,52259,0.037947194,6632,0.00331725,0,0,0.181845597,0.060615199,0.146260555,0.103287093,0.310012063,0.14791918,0.029252111,0.017490953
27919,80435,7561,35.5,88194,39263,0.117312525,5221,0,0.040605248,0,0.236353189,0.050181957,0.131775522,0.063397817,0.337483241,0.094809423,0.021260295,0.024133308
27920,80436,517,45.6,46607,31066,0.087040619,418,0,0,0,0.332535885,0,0.114832536,0.078947368,0.349282297,0.124401914,0,0
27921,80438,502,54.2,37628,29555,0.073705179,405,0.004938272,0.007407407,0,0.42962963,0.071604938,0.165432099,0.056790123,0.232098765,0.032098765,0,0
27922,80439,24687,47.6,107262,56174,0.050755458,18288,0.001038933,0.001148294,0,0.11515748,0.044674103,0.136592301,0.042049431,0.37828084,0.195374016,0.050087489,0.035597113
27923,80440,2681,40.5,66813,37288,0.11152555,1775,0.005070423,0,0.010704225,0.302535211,0.102535211,0.183661972,0.056338028,0.203380282,0.096338028,0.028169014,0.011267606
27924,80442,2323,33,49861,26485,0.082651743,1783,0.010656197,0.001682557,0.019068985,0.385305665,0.043185642,0.104318564,0.043185642,0.326977005,0.011777902,0.050476725,0.003365115
27925,80443,4340,48.2,65806,33194,0.065668203,3544,0,0.017494357,0,0.232223476,0,0.090293454,0.159424379,0.356941309,0.106659142,0.019469526,0.017494357
27926,80444,1232,44.2,68333,42477,0.056818182,939,0.004259851,0,0.004259851,0.218317359,0.03514377,0.2342918,0.12886049,0.230031949,0.122470714,0.019169329,0.003194888
27927,80446,4486,46.3,72031,36845,0.037449844,3340,0,0,0.010479042,0.281437126,0.095508982,0.165269461,0.101497006,0.248502994,0.063772455,0.030538922,0.002994012
27928,80447,1937,54,89212,46887,0.044914817,1669,0,0,0,0.180946675,0.003594967,0.164769323,0.079089275,0.433193529,0.12222888,0.016177352,0
27930,80449,778,55.3,57404,34550,0.06940874,732,0,0,0,0.385245902,0.045081967,0.077868852,0.137978142,0.24863388,0.076502732,0,0.028688525
27931,80451,994,34.8,73011,31031,0.096579477,654,0,0,0,0.45412844,0.04587156,0.162079511,0.064220183,0.226299694,0.0382263,0.009174312,0
27932,80452,3091,47.6,58639,32511,0.085085733,2432,0.002467105,0,0,0.297697368,0.071134868,0.235608553,0.129523026,0.185032895,0.074013158,0.004523026,0
27933,80453,237,34.2,91771,28806,0,164,0,0,0,0,0.152439024,0.304878049,0.134146341,0.286585366,0.048780488,0,0.073170732
27934,80454,1347,39.8,105972,45919,0.037119525,1063,0,0,0,0.180620884,0.041392286,0.218250235,0.137347131,0.248353716,0.12229539,0.043273754,0.008466604
27935,80455,438,50,44226,42901,0.187214612,372,0,0,0,0.212365591,0.161290323,0.083333333,0.040322581,0.384408602,0.088709677,0.01344086,0.016129032
27936,80456,715,64,59917,45341,0.01958042,689,0.037735849,0,0,0.323657475,0.015965167,0.238026125,0.088534107,0.224963716,0.071117562,0,0
27937,80457,372,38.4,95820,31897,0.142473118,284,0,0,0,0.376760563,0.063380282,0.070422535,0.112676056,0.225352113,0.151408451,0,0
27938,80459,2501,37.7,53971,26378,0.208316673,1644,0.000608273,0.001216545,0.003041363,0.442822384,0.087591241,0.161800487,0.099756691,0.147201946,0.044403893,0.011557178,0
27939,80461,7426,36.9,46765,27910,0.162671694,5306,0.013946476,0.05314738,0.005465511,0.34922729,0.065963061,0.098190727,0.077271014,0.257632868,0.054466642,0.008480965,0.016208066
27940,80463,186,61.1,79318,32495,0.23655914,163,0,0,0.09202454,0.36196319,0.245398773,0.073619632,0,0.098159509,0.128834356,0,0
27941,80465,16062,44.9,101094,53627,0.026148674,11962,0.000585186,0.001003177,0,0.189516803,0.077913392,0.136515633,0.08276208,0.308393245,0.134676476,0.041631834,0.027002174
27942,80466,3739,41.8,73504,38229,0.147633057,2711,0.005533014,0,0.005533014,0.137956474,0.027665068,0.146440428,0.066027296,0.366285504,0.173736629,0.047952785,0.02286979
27943,80467,2145,42.3,60714,31786,0.137995338,1621,0.003701419,0,0.014805676,0.252313387,0.083898828,0.178285009,0.062924121,0.262183837,0.107958051,0.027760642,0.006169031
27945,80469,366,54.7,54130,34805,0.087431694,308,0,0,0,0.532467532,0,0.068181818,0.068181818,0.116883117,0.172077922,0.025974026,0.016233766
27946,80470,3186,47.9,101667,45435,0.018204645,2505,0,0.006786427,0.004391218,0.245908184,0.056287425,0.187225549,0.117365269,0.238323353,0.120958084,0.003193613,0.019560878
27950,80476,178,45.9,65000,40146,0.129213483,149,0,0,0,0.234899329,0.033557047,0.140939597,0.093959732,0.268456376,0.201342282,0.026845638,0
27952,80478,1330,42.7,74727,27426,0.358646617,931,0,0,0,0.08915145,0,0.216970999,0.224489796,0.283566058,0.091299678,0.037593985,0.056928034
27954,80480,1251,49.8,50250,25708,0.159072742,923,0,0.018418202,0.030335861,0.365113759,0.092091008,0.248104009,0.069339112,0.1375948,0.014084507,0.021668472,0.003250271
27955,80481,537,62.1,112083,49357,0.102420857,488,0,0,0,0.118852459,0.026639344,0.086065574,0.073770492,0.549180328,0.100409836,0.006147541,0.038934426
27956,80482,991,42.8,66442,50856,0.106962664,885,0,0,0,0.212429379,0.010169492,0.185310734,0.077966102,0.33559322,0.148022599,0.030508475,0
27957,80483,748,37.4,64821,24745,0.191176471,465,0,0,0,0.584946237,0.017204301,0.055913978,0.055913978,0.23655914,0.034408602,0.015053763,0
27958,80487,18001,38.8,78907,44414,0.095883562,13289,0.005192264,0.000677252,0.012867785,0.165399955,0.052524644,0.131311611,0.070358943,0.360975243,0.139137633,0.049966137,0.011588532
27960,80497,497,32.1,74559,30781,0.036217304,279,0,0,0,0,0,0,0,0.752688172,0.247311828,0,0
27961,80498,7911,43,72743,39998,0.087852357,6170,0,0.008103728,0.050243112,0.259481361,0.031766613,0.097568882,0.059319287,0.393354943,0.078606159,0.012479741,0.009076175
27962,80501,41951,37.1,56480,28653,0.133632095,27962,0.014913096,0.022208712,0.01419784,0.322795222,0.082254488,0.145447393,0.09140977,0.187575996,0.077748373,0.020205994,0.021243116
